City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,queenstown,-31.8976,26.8753,18.75,60,100,2.5,ZA,1711935395.373846
198,cannonvale,-20.2833,148.7,26.66,65,15,6.78,AU,1711935396.169284
199,sur,22.5667,59.5289,25.6,56,89,2.13,OM,1711935396.671021
200,east lismore,-28.8193,153.2874,24.19,83,93,1.87,AU,1711935397.199429
201,katabu,-4.9333,122.5167,29.19,79,95,1.33,ID,1711935398.190549
202,papatowai,-46.5619,169.4708,13.66,65,93,1.86,NZ,1711935399.7264068
203,tsiombe,-25.3,45.4833,22.44,82,84,8.17,MG,1711935400.210436
204,ca mau,9.1769,105.15,32.42,53,77,1.54,VN,1711935400.658732
205,yamada,39.4667,141.95,9.01,56,62,2.03,JP,1711935401.569618
206,jamestown,42.097,-79.2353,4.45,92,20,2.57,US,1711935402.89709
207,olonkinbyen,70.9221,-8.7187,-7.9,70,100,8.85,SJ,1711935403.3516579
208,papao,-17.75,-149.55,27.82,83,99,12.28,PF,1711935403.865521
209,codrington,-38.2667,141.9667,22.53,59,100,4.63,AU,1711935404.551939
210,san andres,12.5847,-81.7006,28.01,65,20,3.09,CO,1711935405.459427
211,howrah,22.5892,88.3103,29.0,74,0,2.57,IN,1711935405.902839
212,sisimiut,66.9395,-53.6735,-2.18,72,100,4.22,GL,1711935406.482621
213,quesnel,52.9999,-122.5029,13.28,35,75,5.66,CA,1711935407.202013
214,gaigeturi,33.4644,126.3183,16.03,59,0,2.06,KR,1711935407.63622
215,siwa oasis,29.2041,25.5195,21.76,45,0,3.38,EG,1711935408.534123
216,karratha,-20.7377,116.8463,34.21,29,0,3.78,AU,1711935409.8168151
217,plymouth,41.8334,-70.8328,9.01,68,0,0.0,US,1711935410.374843
218,ust'-kut,56.7938,105.7672,0.04,89,100,5.37,RU,1711935411.196228
219,manadhoo,5.7667,73.3833,28.72,72,77,2.81,MV,1711935411.645931
220,san isidro de curuguaty,-24.5167,-55.7,21.78,96,27,1.76,PY,1711935412.104855
221,kenora,49.8167,-94.4337,-2.46,68,75,2.06,CA,1711935412.55457
222,ust'-ilimsk,58.0006,102.6619,-0.31,94,99,3.13,RU,1711935412.9924061
223,fortuna,40.5982,-124.1573,12.97,80,75,9.26,US,1711935413.464179
224,quepos,9.4236,-84.1652,26.88,80,78,0.62,CR,1711935414.070418
225,sanctuary point,-35.1114,150.629,27.21,52,8,4.27,AU,1711935414.721834
226,blairgowrie,56.5916,-3.3405,6.12,90,99,2.38,GB,1711935415.378268
227,longyearbyen,78.2186,15.6401,-22.09,77,20,4.63,SJ,1711935416.030571
228,ende,-8.8432,121.6623,30.26,72,96,1.58,ID,1711935416.556674
229,kovernino,57.1253,43.8142,0.71,98,84,2.82,RU,1711935417.1072168
230,luderitz,-26.6481,15.1594,16.1,88,0,5.72,NA,1711935417.563238
231,guangming,45.3333,122.7833,2.92,29,3,3.77,CN,1711935418.012007
232,xuanzhou,30.9525,118.7553,24.71,59,47,4.6,CN,1711935418.462862
233,orapa,-21.2833,25.3667,18.8,73,99,6.46,BW,1711935419.5920289
234,saiha,22.4833,92.9667,25.89,49,1,1.26,IN,1711935420.5236092
235,salalah,17.0151,54.0924,25.05,65,0,1.54,OM,1711935421.2990038
236,kapuskasing,49.4169,-82.4331,0.05,100,100,4.63,CA,1711935421.868216
237,guaruja,-23.9931,-46.2564,23.27,26,24,2.44,BR,1711935422.312869
238,isla mujeres,21.2311,-86.731,26.03,67,0,6.18,MX,1711935422.7789161
239,qaqortoq,60.7167,-46.0333,-6.94,74,95,2.45,GL,1711935423.236456
240,broken hill,-31.95,141.4333,25.25,54,98,6.87,AU,1711935424.123313
241,kingston,17.997,-76.7936,27.53,74,75,9.26,JM,1711935424.5726862
242,ojinaga,29.5667,-104.4167,31.53,18,0,6.17,MX,1711935425.028128
243,dunedin,-45.8742,170.5036,12.11,88,100,1.79,NZ,1711935425.466624
244,san-pedro,4.7485,-6.6363,26.96,91,13,1.96,CI,1711935425.9230669
245,daru,-9.0763,143.2092,26.04,89,100,1.8,PG,1711935426.600172
246,ugoofaaru,5.6667,73.0,28.7,73,51,2.71,MV,1711935427.205379
247,portland,45.5234,-122.6762,18.32,43,20,4.63,US,1711935427.654372
248,kiunga,-6.1219,141.2906,31.93,59,94,1.74,PG,1711935428.096349
249,monterey,36.2505,-121.2516,11.21,73,5,3.94,US,1711935428.5567229
